data,Showalterindex,Liftedindex,LIFTcomputedusingvirtualtemperature,Kindex,Crosstotalsindex,Verticaltotalsindex,Totalstotalsindex,ConvectiveAvailablePotentialEnergy,CAPEusingvirtualtemperature,ConvectiveInhibition,CINSusingvirtualtemperature,Temp[K]oftheLiftedCondensationLevel,Pres[hPa]oftheLiftedCondensationLevel,Equivalentpotentialtemp[K]oftheLCL,Meanmixedlayerpotentialtemperature,Meanmixedlayermixingratio,1000hPato500hPathickness,Precipitablewater[mm]forentiresounding,contagem_raios,sim_nao,shear_index,BRNSH_index,shear_0_15000,shear_6000_15000,BRNSH_500_15000,BRNSH_6000_15000,EL,EL (Tv),LFC,LFC (Tv),Prof_cam_convec,Prof_cam_tv
2000-12-31,3.67,3.47,3.2,30.2,18.0,20.3,38.3,0.0,0.0,0.0,0.0,288.06,865.61,336.94,300.21,12.49,5754.0,34.67,52,sim,11.34985600662331,6.068554843059294,3.0964787062237464,10.75747848906034,11.861205699445469,4.238118113844894,0.0,0.0,0.0,0.0,0.0,0.0
2001-01-02,7.93,7.26,6.8,23.9,13.3,20.3,33.6,0.0,0.0,0.0,0.0,283.74,828.62,328.23,299.4,9.78,5741.0,21.45,0,nao,5.440755504365508,12.25512428854763,7.112756048921084,3.4032920129335222,23.73577972621278,6.154724668186905,0.0,0.0,0.0,0.0,0.0,0.0
2001-01-03,1.76,2.36,1.86,30.2,20.2,22.5,42.7,0.0,0.07,0.0,-97.2,286.29,850.54,333.13,299.86,11.32,5739.0,24.23,938,sim,11.66802407440506,11.19892100763574,11.129038788898168,0.5405725417786196,21.40358386880897,11.392783764145053,0.0,695.19,0.0,707.94,0.0,12.75
2001-01-04,2.83,2.41,1.8,24.9,18.1,23.1,41.2,0.0,0.0,0.0,0.0,286.24,833.27,335.67,301.57,11.52,5737.0,24.13,7606,sim,12.34656,4.399018406047414,11.31768,9.105664134869006,3.125073468251218,14.279595470247536,0.0,0.0,0.0,0.0,0.0,0.0
2001-01-05,1.07,1.06,0.85,29.5,18.9,25.9,44.8,1.71,6.79,-227.6,-171.37,284.98,801.81,336.45,303.56,11.06,5755.0,30.2,6730,sim,3.08664,6.355370198559229,11.31768,11.626645977713688,10.127391980912677,31.218990202340503,567.64,563.22,587.32,599.96,19.680000000000064,36.74000000000001
2001-01-06,-0.06,-1.01,-1.25,32.1,19.3,28.3,47.6,102.52,128.23,-232.26,-153.4,285.34,796.98,338.48,304.47,11.36,5767.0,30.34,4169,sim,14.40432,16.35187337650749,7.20216,21.03695380678632,12.272434220735118,4.2746333149090905,342.01,339.32,548.98,567.49,206.97000000000003,228.17000000000002
2001-01-07,-0.8,-0.22,-0.53,34.1,19.9,28.9,48.8,36.12,50.82,-290.76,-220.91,283.46,773.05,336.16,305.12,10.35,5767.0,29.19,4955,sim,11.31768,3.636350384553794,5.1444,8.33018589952689,4.471281093600572,3.7969382754422583,437.85,437.2,510.25,528.84,72.39999999999998,91.64000000000004
2001-01-08,1.54,-0.54,-0.81,28.5,16.5,29.5,46.0,26.17,54.1,-211.17,-151.26,283.47,766.08,337.36,305.91,10.44,5765.0,28.02,7105,sim,4.62996,3.481054210956647,8.23104,6.259595481228419,1.2835951350290258,4.778922528380892,466.59,461.02,588.94,629.69,122.35000000000008,168.67000000000007
2001-01-10,1.31,1.71,1.51,29.1,20.1,23.7,43.8,0.0,0.0,0.0,0.0,285.76,832.93,334.09,301.1,11.16,5741.0,30.49,3142,sim,13.3248441535923,1.605559090061988,12.658028545673131,9.785213187304064,27.77937448637037,14.406365521239929,0.0,0.0,0.0,0.0,0.0,0.0
2001-01-12,0.37,-0.88,-1.54,32.0,21.2,23.5,44.7,226.31,319.05,-64.12,-47.12,288.15,847.66,340.13,302.1,12.84,5741.0,34.03,12829,sim,10.6777958862635,17.92811817775988,6.077691009640911,12.765807607425296,4.726504236581508,5.573255832949134,337.33,336.54,718.8,733.63,381.46999999999997,397.09
2001-01-13,-0.17,-0.74,-1.27,28.7,21.5,24.9,46.4,129.77,185.09,-156.64,-114.98,286.7,832.3,337.4,302.15,11.87,5730.0,30.32,15914,sim,8.700831418488214,15.11549212656781,3.201368589147413,7.407696489748883,8.478661334399215,1.881918737425752,439.39,427.78,659.82,682.93,220.43000000000006,255.14999999999998
2001-01-16,5.49,3.3,3.01,26.1,12.7,26.7,39.4,0.0,0.0,0.0,0.0,282.5,783.1,331.46,302.96,9.75,5748.0,23.85,1649,sim,12.34656,4.015249308298074,4.6299600000000005,10.485350680091962,3.43057898659585,0.7968170783707205,0.0,0.0,0.0,0.0,0.0,0.0
2001-01-17,3.62,0.78,0.11,27.9,15.9,24.9,40.8,377.99,449.47,-126.52,-89.16,287.66,834.64,340.45,302.92,12.65,5770.0,25.22,1149,sim,8.256034524172009,0.1983793190889677,7.750710939583843,10.03206092625425,6.892230233689305,4.548248441416437,243.81,243.64,696.76,718.56,452.95,474.91999999999996
